story,caption
"Aku sudah pernah belajar menenun, sama seperti umumnya anak-anak di kampungku. Namun, aku tidak begitu tekun. Mungkin Mama mau mengajari aku lagi. Keona mau apa? Mau belajar menenun lagi? tanya Mama sambil terus menenun.",a woman in a blue dress and a man in a blue shirt
"Hmmm, aku harus mencoba lagi. Aku harus duduk tenang. Aku harus memasukkan benang, menarik alat. Aku kerahkan tenagaku sekuat-kuatnya. Aaah. Badanku sakit rasanya. Keona kenapa? tanya Mama.",a woman weaving a loom with a loom
"Keona tidak bisa, Mama. Keona cari uang dengan cara lain saja. Aku tahu menenun tidak mudah. Aku sering memijat punggung Mama yang sakit, setelah lama duduk menenun. Menenun di musim kemarau seperti di Sikka membuat Mama sering kehausan. Tadi aku sudah membuatkan Mama kopi.",a woman holding a baseball bat in front of a house
"Mama meminum kopi buatanku sambil tersenyum. Kenapa, Ma? Apa rasanya kurang enak? tanyaku. Tentu saja enak. Kamu pintar membuatnya.",a woman walking down a beach with a red umbrella
"Aku sudah besar. Aku sudah bisa membuat kopi yang enak. Untuk membuat kopi yang enak, aku harus memasak air sampai mendidih. Lalu aku menakar kopi dengan tepat. Kopi itu sering aku suguhkan kepada tamu yang berkunjung ke rumah. Mereka memuji kopi buatanku.  Wah, aku tahu. Aku akan berjualan es kopi.",a village scene with a village scene with a village scene
"Es akan membuat kopi semakin enak. Aku harus ke warung untuk membelinya. Persediaan es batu di rumah sudah habis. Keona beli es batu, Maaaa, ujarku pada Mama.",a woman in a kitchen with a coffee pot and a cup of coffee
"Warung yang menjual es batu lumayan jauh dari rumah. Aku harus lari biar cepat. Aduh, kenapa warungnya tutup? Apakah pemiliknya juga pergi ke pesta pernikahan Goretti? Sekarang aku harus kembali pulang.",group of children playing with a ball
"Aku capek dan haus. Aku juga lapar. Sungguh sulit untuk mencari uang. Hei, bau apa ini? Sedap sekali. Sepertinya Mama sudah memasak makanan kesukaanku.Jagung bose! Hm, pasti ada jagung manis yang diberi kacang tanah dan tambahan santan.",cartoonish a girl with a toothbrush and toothbrushes
"Aku lihat Mama seperti berpikir. Nanti ya, kalau kain tenun Mama habis terjual. Baru kita bisa membeli daging. Mama bilang, pemesannya baru akan datang dua atau tiga minggu lagi.",cartoonish a woman in a blue dress standing in front of a table with a baby
"Ternyata berjualan itu membutuhkan modal.Aku tidak tahu apa yang harus aku lakukan. Tiba-tiba terdengar, Heiii, kembalikan roti gorengku!",a woman in a blue dress standing in front of a table with a man and woman
"Oh, sepertinya kedua anak itu sedang berebutan. Kembalikan roti gorengku! Aku harus memisahkan mereka berdua. Roti goreng di warung tinggal satu, Kakak. Aku membeli lebih dulu, kata anak yang besar. Roti goreng? Mama pintar membuat roti goreng yang enak. Jangan berkelahi. Kakak nanti buat yang banyak.",cartoonish a woman holding a knife and knife in front of a woman
"Roti goreng! Iya, aku akan berjualan roti goreng saja. Keona mau membuat roti goreng, Mama.  Keona akan menjualnya.",there is a bowl of food that is sitting on a table
"Mama, ajari Keona membuat roti goreng! kataku begitu melihat Mama sudah selesai menenun. Mama beri tahu caranya saja, ya. Keona bisa membuatnya sendiri, kata Mama.",a monkey sitting on a tree branch with a basket of strawberries
"Sebenarnya aku pernah membuat roti goreng, tetapi aku belum tahu takaran yang pas. Aku perlu belajar dari Mama. Ambil tepung di atas meja, kata Mama. Di meja ada tepung, tetapi tinggal sedikit. Mungkin Mama lupa, kemarin Mama membuat roti untuk dibawa ke pesta Goretti. Bahan lain masih ada. Jangan-jangan, Mama juga tidak punya uang untuk membeli tepung lagi?",monkeys in a tree with fruit and leaves
Keona bisa memakai ubi jalar untuk tambahan tepung. Ubi jalar di halaman kita sudah besar umbinya. Iya. Mama memang sengaja menanam ubi jalar untuk membuat campuran roti dan makanan lain.,cartoonish a girl in a skirt and a skirted skirt
"Untuk membuat roti, aku harus bisa bersabar. Aku harus sabar mencampur adonan, menunggu adonan mengembang, dan membagi adonan sama besar. Aku bisa mengisi adonan dengan kopi yang dicampur gula. Setelah itu, aku juga harus sabar menunggu adonan kembali mengembang. Lihat! Adonan sudah membesar. Aku bisa menggoreng lalu menjualnya Namun, Mama tertawa sambil menunjuk langit di luar. Sudah gelap, kata Mama. Keona harus mau menunggu besok pagi. Wah, aku harus bersabar lagi.",a girl in a garden with a dog and a cat
"Malam ini, aku dan Mama makan malam dengan roti goreng. Roti buatan Keona enak sekali, kata Mama. Besok aku akan bangun pagi, lalu membuat roti goreng lagi. Nanti isiannya bermacam-macam. Aku akan menjualnya dan punya banyak tabungan untuk sekolah.",monkeys in a forest with bananas and bananas
"Rambutan hutan semakin sulit ditemukan. Jumlahnya terlalu sedikit untuk Yaki dan teman-temannya. Padahal, itu buah kesukaan Yaki. Uh!",monkeys playing with a rope rope fence in a forest
"""Yuk, kita cari rambutan ke tempat lain!"" Yaki mengajak teman-temannya.",a group of monkeys in a tree in a field
Mereka berjalan semakin jauh  dan jauh  ... hingga Yaki melihat banyak rambutan di sana!,a  girl holding a donut in front of a window
"Tiba-tiba, ""Auw! Pagarnya menggigit!"" jerit teman Yaki. ""Kepalaku kena pukul!"" teriak temannya yang lain. Orang itu tampak marah. ""Lari!"" seru Yaki.",disney princess and the frog prince and the princesses of the kingdom of the kingdom of the kingdom
"Lelah berlari, Yaki berhenti. Di sini agak sepi. Banyak teman-teman Yaki sudah jauh berlari.",there is a bird cage hanging from a tree
"Asyik! Rambutan terhampar di tanah, Yaki tak perlu memanjat. Apalagi, di kebun ini tak ada pagar kawat.",monkeys playing with apples in a field with trees
"Plop, gawat! Ternyata ini jebakan. Rambutan itu hanya umpan!",a monkey sitting on a tree in a forest
"Untung Yaki cekatan. Ia membebaskan teman-temannya tepat ketika pemilik kebun datang. ""Cepat, lari!"" seru Yaki lagi.",a monkey sitting on a tree stump in a forest
"""Nah, kebun rambutan ini sepertinya aman,"" kata Yaki. Eh, tetapi di mana teman-teman Yaki? Oh, Yaki tertinggal sendirian!",a monkey sitting on a tree trunk trunk trunk trunk trunk trunk trunk trunk trunk trunk trunk
"Yaki bimbang, haruskah ia berlari pulang? Tetapi perutnya lapar tak tertahan. Ada pemilik kebun! Yaki segera bersembunyi.",a man holding a stick with a monkey on it
"Sreek . Pemilik kebun itu membawa tongkat juga! Jangan sampai Yaki kena pentung seperti temannya. Akan tetapi ...,",a monkey sitting on a tree trunk trunk trunk trunk trunk trunk trunk trunk trunk trunk trunk
" oh, tongkat itu ternyata untuk mengambil rambutan.",a man with a basket of fruit in a basket
"Aduh, pemilik kebun itu sekarang melihat Yaki! Apakah keranjang itu untuk menangkap Yaki?",a man holding a monkey in his arms and a monkey in the background
"Oh, keranjang itu untuk menampung rambutan. Pelan-pelan Yaki mendekat. Pemilik kebun itu menatapnya.",someone is holding a basket with a monkey on it and a monkey on the other side
"Grrr  guk  guk . Anjing menyalak keras. Yaki ragu sesaat. Oh, pemilik kebun itu memeluk erat anjingnya. Yaki tak perlu takut anjing itu mengejarnya.",woman and child eating food at a table
Apa maksud orang ini? Mana mungkin ia membiarkan Yaki mengambil rambutan? Yaki tak begitu percaya. Ia berjalan pelan mendekati rambutan.,a man walking with a dog in a forest
Benar! Yaki boleh memakan rambutan itu sepuasnya.,a monkey sitting on a tree branch with flowers
Horee! Yaki tak lagi was-was. Ia makan rambutan hingga kenyang.,a cat sitting on a tree branch with a bird on it
Besok akan ada acara adat di Desa Mamburungan. Sinan bersama Ibu membuat ketupat imbiuku.,cartoonish froggiem froggy froggy froggy froggy froggy froggy froggy
"Pertama-tama, daun nipah dianyam menjadi cangkang imbiuku. Kemudian, cangkang diisi dengan beras ketan. Setelah itu, imbiuku direbus dengan santan.",a family gathering at a picnic table with a basket of food
Sinan dan Ibu membawa imbiuku dengan gegantang. Acara diadakan di dekat pantai. Teman-teman Sinan juga sudah datang. Keluarga mereka juga membawa imbiuku buatan masing-masing.,a woman and child in a park with people in the background
"Imbiuku diserahkan kepada Bu Kepala Kampung. Uli membantu ibunya mengumpulkan imbiuku. Makanan akan ini disajikan untuk semua orang. Namun, mereka tidak boleh mengambil imbiuku buatan sendiri.",a woman cooking food in a potted potted in a pot
Sinan mengintip hamparan imbiuku di atas tikar. Perhatiannya tertuju pada imbiuku burung ekor panjang. Bu Kepala kampung membuatnya dari beras ketan hitam. Sinan ingin mendapatkan imbiuku yang enak itu.,a girl in a pink shirt and a yellow shirt
"Sinan bergegas ke tikar anak-anak. Sinan masih memikirkan imbiuku ekor panjang tadi. Bagaimana, ya, cara mendapatkannya? Hmmm  daun perepat itu bisa digunakan.",cartoonish children's a group of children playing in a park
Acara belum dimulai. Sinan dan teman-temannya bermain kejar-kejaran. Sinan berhati-hati agar daun perepat tidak rusak. Dia sudah punya rencana.,a woman holding a child's hand
"Acara pembacaan doa dimulai. Sinan dan teman-teman segera duduk. Imbiuku di hadapan mereka sudah menggoda selera. Namun, mereka harus bersabar.",a picnic table with people sitting around a picnic table
"Itu dia imbiuku ekor panjang incaran Sinan. Sinan harus mendapatkannya! Eh, mengapa Raping mengamati imbiuku yang itu? Jangan-jangan dia juga menginginkannya.",a group of children sitting on a table with paper airplanes
Cepat-cepat Sinan menutupi imbiuku itu dengan daun perepat. Daun dapat menghalangi pandangan Raping.,there is a picture of a plant with leaves
"Wah, Raping malah menggeser duduknya. Sekarang dia tepat berhadapan dengan Sinan. Sinan waspada.",there are many children are gathered around a table with flowers
Pembacaan doa selesai. Orang-orang segera menyerbu imbiuku. Semua anak cepat-cepat menyambar imbiuku incaran masing-masing. Hap! Sinan meraup daun perepat dan imbiuku di bawahnya.,several hands are shown with hands holding flowers and hands
"Dengan cepat Sinan menyingkap daun perepat. Aduh, ini imbiuku lain! Sinan tidak mendapatkan imbiuku ekor panjang",there is a picture of a little girl holding a plant
Mata Sinan mencari-cari imbiuku itu. Di atas tikar hanya ada imbiuku lain. Apakah Raping yang mendapatkannya?,there is a picture of a group of people standing around a circle
Banyak sekali imbiuku yang diambil Raping. Dia tidak sanggup memegang semuanya. Imbiuku-imbiuku itu berhamburan. Imbiuku ekor panjang tidak terlihat di antaranya.,a group of children playing with a kite in the sand
"Tahu-tahu pundak Sinan ditepuk. Uli menyodorkan imbiuku ekor panjang. Dia mendapatkan imbiuku buatan ibunya. Karena itu, Uli memberikannya kepada Sinan.",there is a picture of a picture of a child's picture taken from a book
Acara selesai. Semua orang pulang dengan gegantang penuh imbiuku. Sinan gembira mendapatkan imbiuku ekor panjang.,"a picture of a logo for the company, novasi"
"Di rumah, Sinan menikmati imbiuku bersama Ibu. Semoga tahun depan Sinan bisa membuat sendiri imbiuku ekor panjang.",a ish a girl with a pink dress
"Mengenal Lebih DekatCerita ini terinspirasi dari tradisi tolak bala yang diselenggarakan Suku Tidung. Tolak bala dilaksanakan pada Rabu awal dan Rabu akhir bulan Safar atau bulan kedua dalam kalender Hijriah. Masyarakat Suku Tidung di Kalimantan Utara membawa imbiuku/ketupat berisi beras atau beras ketan yang dimasak dengan santan. Pada acara itu mereka saling bertukar imbiuku. Pada pelaksanaannya sering terjadi rebutan imbiuku.Desa Mamburungan terletak di Kecamatan Tarakan Timur, Tarakan, Kalimantan Utara.  gegantang: semacam keranjang anyaman yang digunakan sebagai wadah. perepat termasuk tanaman bakau yang banyak tumbuh di rawa. Perepat bernama Latin Sonneratia alba. Sebagian orang menyebutnya perengat.",a woman sitting at a table with a dog and a cat
"Inovasi untuk Anak Sekolah Indonesia (INOVASI) merupakan program kolaborasi antara pemerintah Australia dan Indonesia. INOVASI bekerja dengan Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi (Kemendikbudristek), Kementerian Agama (Kemenag) dan Kementerian Perencanaan Pembangunan Nasional/Badan Perencanaan Pembangunan Nasional (Bappenas), serta mitra-mitra di tingkat daerah di Provinsi Nusa Tenggara Barat, Nusa Tenggara Timur, Kalimantan Utara, dan Jawa Timur. Program ini berupaya mengidentifikasi dan mendukung perubahan dalam hal praktik pembelajaran, sistem, dan kebijakan pendidikan yang secara nyata mampu mempercepat peningkatan hasil belajar siswa dalam pendidikan dasar yang akan memberikan fondasi bagi angkatan kerja Indonesia yang lebih terampil.INOVASI dikelola oleh Palladium atas nama Pemerintah Australia, melalui Australian Department of Foreign Affairs and Trade (DFAT), yang secara resmi dimulai pada 18Januari 2016. ",a girl in a pink shirt holding a branch of a tree
"Suatu pagi, Luh Ayu Manik terlihat sibuk mencari sesuatu di dapur. Mencari apa, Ayu? tanya ibunya. Mencari plastik, Bu, untuk membungkus canang yang akan saya bawa ke sekolah, jawabnya. Nak, pakai saja sokasi kecil sebagai wadah, jangan memakai plastik, saran ibunya. Saya akan pakai tas plastik saja, Bu, agar mudah membawanya, jawab Luh Ayu Manik. Setelah menemukan apa yang dicari, ia pun bersiap-siap berangkat ke sekolah.",of a woman standing in front of a couch with a remote control
"Sepulangnya dari sekolah hari itu, ia putuskan untuk menonton televisi saja. Sambil mencari-cari tayangan yang menarik untuk ditonton, ia melihat iklan yang menarik perhatiannya. Iklan tersebut bertujuan mendorong masyarakat Bali mengurangi penggunaan tas plastik, utamanya dikarenakan ada peraturan baru terkait hal ini. Setelah menonton tayangan setelah iklan tersebut, Ia mematikan televisi dan makan.",cartoonish a woman in a green dress and a man in a yellow shirt
"Sambil makan, ia bertanya-tanya alasan harus mengurangi penggunaan plastik. Plastik banyak gunanya, misalnya untuk wadah barang-barang ketika berbelanja dan sebagai tempat canang ke sekolah saat perayaan Purnama. Tambahan pula, plastik membuat segala sesuatunya jadi lebih mudah. Selesai dipakai, tinggal buang saja ke tong sampah, tidak repot. Sepanjang waktu makan ia memikirkan tentang ini.",woman talking to a child in a room
"La masih memikirkan pesan iklan yang dilihatnya di TV, lalu memutuskan untuk membicarakannya dengan ibunya. Bu, tadi saya lihat di televisi, katanya kita harus mengurangi penggunaan tas plastik. Kenapa begitu? Apakah plastik itu jelek? Dengan serius ibunya menjawab, Ibu tidak tahu, Ayu. Setiap hari Ibu menggunakan tas plastik juga dan sampai sekarang tidak ada masalah. Mungkin bahan yang digunakan untuk membuat plastik sudah sulit didapat.Oh, begitu, kata Ayu, Baru pertama kali ini saya mendengarnya. Ibunya mengangguk, Ibu juga baru pertama kali ini mendengarnya. Cobalah besok tanyakan pada gurumu tentang hal ini. Baik, Bu, akan saya tanyakan, jawab Luh Ayu Manik.",a woman sitting at a table with a plate of food
"Esoknya, sesampainya di sekolah, Luh Ayu Manik langsung menuju ke ruang kelas. Saat itulah Ia berpapasan dengan gurunya, Pak Budiadnyana.  ""Om Suastiastu, Pak,"" Luh Ayu Manik lebih dulu memberi salam.  ""Om Suastiastu, Luh. Kenapa, Luh? Pak Budi membalas salam sambil bertanya.  ""Pak, saya hendak bertanya tentang plastik. Kemarin saya lihat di televisi, ada pesan iklan agar kita mengurangi penggunaan plastik. Kenapa begitu, Pak?"" ""Oh begini, Luh, sekarang pemerintah menghimbau agar kita mengurangi penggunaan plastik atau tas kresek. Oleh karena plastik itu jika dibuang sembarangan bisa menyebabkan lingkungan menjadi kotor, ikan di laut juga teracuni, dan plastik itu sulit terurai. Tidak seperti daun pepohonan yang cepat Esoknya, sesampainya di sekolah, Luh Ayu Manik langsung menuju ke ruang kelas dan memberi salam pada gurunya, Pak Budiadnyana. Om Suastiastu, Pak. Om Suastiastu, Ayu, balas Pak Budi dan bertanya, Ada apa? Luh Ayu Manik langsung menyampaikan maksudnya. Pak, saya hendak bertanya tentang plastik. Kemarin saya lihat iklan di televisi yang mengatakan bahwa kita harus mengurangi penggunaan plastik. Kenapa begitu, Pak? Saat ini pemerintah menyerukan kepada kita agar mengurangi penggunaan plastik dan tas plastik. Jika plastik dibuang sembarangan, bisa menyebabkan polusi lingkungan, meracuni ikan di laut, dan plastik butuh waktu yang sangat lama untuk terurai. Tidak seperti daun-daun pepohonan yang bisa dengan cepat terurai, demikian Pak Budi menjelaskan.terurai,"" demikian Pak Budi menjelaskan.",woman in a white shirt and tie dye dyed black
"Saya di rumah biasa membakar plastik, Pak, dan hancur. Bagaimana maksud Bapak bahwa plastik butuh waktu sangat lama untuk terurai? tanya Luh Ayu Manik. Jika plastik dibakar, akan semakin buruk akibatnya. Menghirup asap plastik yang terbakar bisa berdampak sangat buruk bagi kesehatan kita, jelas Pak Budi. Oh begitu. Waduh, berarti plastik sangat berbahaya. Saya baru tahu.Luh Ayu Manik merasa mendapatkan sebuah pelajaran penting. Namun, ia masih punya pertanyaan.",woman and a man holding bags
"Apa yang sebaiknya dipakai untuk mengganti plastik, Pak? tanya Luh Ayu Manik. Ada banyak, Ayu. Jika berbelanja ke pasar, bawalah tas kain. Jika ke pura, wadahi canang dengan sokasi. Begitu pula ketika akan memohon air suci, jangan menggunakan plastik, bawalah wadah dari rumah. Luh Ayu Manik sadar ia telah menggunakan plastik untuk semua keperluan tersebut, dan membuat perubahan dirasa mudah. Mulai sekarang saya akan mengurangi pemakaian plastik. Saya juga akan menyampaikan hal ini kepada orang tua dan teman-teman saya. Iya, Ayu, Bapak berharap lingkungan kita di sini tidak telanjur tercemar oleh plastik, Pak Budi menambahkan. Iya, saya juga berharap begitu, Pak. Terima kasih telah memberikan saya nasihat.",of a woman carrying a basket on her head and carrying a basket on her head
"Hari berikutnya tidak ada kegiatan belajar di sekolah dikarenakan menjelang hari raya Nyepi. Luh Ayu Manik dan teman-temannya sangat bersemangat untuk melihat parade ogoh-ogoh saat Pangrupukan. Namun sebelumnya, Luh Ayu Manik disuruh ibunya berbelanja ke pasar membeli bahan banten untuk membuat caru (banten kurban dalam upacara Hindu Bali) di rumahnya. Pasar itu tidak jauh, tapi ia ingin ada teman mengobrol di jalan, dicarinya Putu Nita. Luh Ayu Manik ingat kata-kata Pak Budi tentang plastik dan memutuskan untuk membawa tas kain. Sesampainya di depan rumah Putu Nita, Luh Ayu Manik lalu memanggil, Putu Nita, ini Luh Ayu Manik. Ayo berangkat bareng ke pasar! Putu Nita menjawab, Tunggu sebentar, Ayu, aku mengambil tas belanja dulu. Lalu Putu Nita muncul membawa tas kain untuk wadah belanjaannya nanti. Ayo berangkat! Apakah kamu juga melihat iklan tentang pengurangan penggunaan plastik? Aku mau mencoba dan melakukan yang bisa kulakukan.",a man playing trumpet in front of a castle
"Dalam perjalanan menuju pasar, Luh Ayu Manik dan Putu Nita berhenti sejenak di depan bale angklung, bangunan khusus tempat penyimpanan perangkat angklung. Mereka lihat ada orang-orang dari kelompok pemuda di sana membuang sampah plastik ke sungai. Mereka juga melihat pemuda-pemuda itu membuang busa sisa pembuatan ogoh-ogoh.",a ish a group of men in a city
"Saat perjalanan pulang dari pasar, Luh Ayu Manik dan Putu Nita menyaksikan Wayan dan Made membuang plastik. Jumlahnya sangat banyak sehingga mereka harus menggunakan mobil bergerobak. Tidak hanya sisa bahan ogoh-ogoh saja yang dibuang, tetapi juga berbagai jenis sampah, seperti botol plastik, kaleng, dan plastik pembungkus makanan. Banyaknya sampah mengakibatkan aliran sungai terhambat. Air sungai mulai meluap hingga ke tepi jalan.",woman holding a tray with a tray of food
"Petang itu, saat matahari terbenam di langit barat, masyarakat Hindu Bali sibuk menghaturkan caru dan segehan satus kutus (banten kurban yang paling kecil, yang antara lain berisi nasi sebanyak 108 buah) di rumahnya masing-masing. Lalu mereka menyalakan api menggunakan daun kelapa kering, serta membunyikan alat seperti musik dengan keras.",cartoonish a man with a red hat and a red hat
"Luh Ayu Manik dan Putu Nita sudah berjanji akan menonton parade ogoh-ogoh bersama-sama. Pada waktunya, Luh Ayu Manik dengan cepat berhias, memakai kain, lalu pergi ke rumah Putu Nita untuk bertemu dengannya. Sesampainya mereka di jalan, ternyata jalanan sudah ramai oleh warga yang menunggu untuk menonton ogoh-ogoh. Semua orang takjub dan agak takut ketika raksasa-raksasa jahat dengan taring-taring panjang dan runcing, berambut acak-acakan, serta berkuku panjang muncul di jalan. Wajah ogoh-ogoh yang dibuat seram itu dimaksudkan agar para makhluk halus yang jahat menjadi takut. Sorak-sorai para pemuda yang memikul ogoh-ogoh diiringi meriahnya suara gamelan. Parade ogoh-ogoh kali ini sangat menarik.",cartoonish a man and woman holding torches in front of a crowd
"Saat langit semakin gelap, semua ogoh-ogoh kembali ke tempat asalnya. Jalanan kembali lengang. Ketika Luh Ayu Manik dan Putu Nita sedang dalam perjalanan pulang, mereka kaget melihat para pemuda yang sebelumnya duduk-duduk di bale angklung tiba-tiba berhamburan lari, berteriak-teriak ketakutan dan meminta tolong. Tolong, tolong, demikian Wayan berteriak-teriak. Ada ogoh-ogoh yang bisa berjalan. Ia datang dari sungai! Wajahnya menakutkan, badannya semuanya terbuat dari plastik!",cartoonish a man and woman in a cave
